#                                           
#                       ______ _____        
#                       |  _  \  __ \       
#        _ __ ___   __ _| | | | |  \/       
#       | '_ ` _ \ / _` | | | | | __        
#       | | | | | | (_| | |/ /| |_\ \       
#       |_| |_| |_|\__,_|___/  \____/       
#                                           
#     Hostname           borges
#     Username           adegennaro
#     Work directory     /home/adegennaro/Projects/appmath/maDGiCart-CH/scripts/output/run_3
#     Processor model    AMD Ryzen 7 3700X 8-Core Processor
#     GPU model          NVIDIA GeForce GTX 1070 Ti
#     GPUs per node      1
#     OpenMP max threads Not compiled with OpenMP support
#     System time        2022-Jan-18 17:41:32
#     git branch         refs/heads/master
#     git commit hash    ceb47bf85522ced8af0812d2bceeb5f687f407e4
#     C++ compiler       /usr/bin/c++ GNU 9.3.0
#                        
# #[2022-01-18 17:41:32.997262]
# [Info] 
# [Info] # ****** File Options ****** #
# [Info] 
# [Info]                    config_file = 
# [Info]           solution_output_file = 
# [Info]                       log_file = maDGiCart
# [Info]                  log_frequency = 20
# [Info] 
# [Info] # ****** Physics Options ****** #
# [Info] 
# [Info]                  equation_type = cahn-hilliard
# [Info]                              m = 0.367422
# [Info]                           eps2 = 2.12152e-05
# [Info]                          sigma = 295.408
# [Info] 
# [Info] # ****** Discretization Options ****** #
# [Info] 
# [Info]                 domain_x_begin = 0
# [Info]                   domain_x_end = 1
# [Info]              domain_resolution = 128
# [Info]                      dimension = 2
# [Info] 
# [Info] # ****** Time Stepping Options ****** #
# [Info] 
# [Info]                time_integrator = rk3ssp
# [Info]                 time_step_size = 1e-06
# [Info]                   initial_time = 0
# [Info]                     final_time = 1
# [Info]                 max_time_steps = 10000
# [Info]              use_cfl_time_step = false
# [Info]                            cfl = 1
# [Info]         use_adaptive_time_step = false
# [Info]             min_time_step_size = 2.22045e-16
# [Info]             max_time_step_size = 1.79769e+308
# [Info]               time_abs_err_tol = 0.0001
# [Info]               time_rel_err_tol = 0.0001
# [Info]              converged_rel_tol = 0
# [Info]              converged_abs_tol = 0
# [Info] 
# [Info]  #[2022-01-18 17:41:32.997532]
# [Trace] Timing: Starting solver... #[2022-01-18 17:41:33.036236]
# [Info] RNG initial conditions have mean 0.367426, renormalizing. #[2022-01-18 17:41:33.036501]
# [Warning] bad size: 17424 != 16384 #[2022-01-18 17:41:33.036522]
#
# Logger outputs:  #[2022-01-18 17:41:33.047957]
iter time dt res_c rel_res min_c max_c grad_c_mag  #[2022-01-18 17:41:33.047995]
#                                                                                                        
#       iter         time           dt        res_c      rel_res        min_c        max_c   grad_c_mag  
#                                                                                                         #[2022-01-18 17:41:33.048020]
   1.00000e+00  1.00000e-06  1.00000e-06  2.77911e+02  1.00000e+00  3.62336e-01  3.72649e-01  3.18290e-01 #[2022-01-18 17:41:33.048261]
   2.10000e+01  2.10000e-05  1.00000e-06  3.43926e+01  1.23754e-01  3.62030e-01  3.72679e-01  1.83805e-01 #[2022-01-18 17:41:33.053767]
   4.10000e+01  4.10000e-05  1.00000e-06  1.43793e+01  5.17405e-02  3.62006e-01  3.72746e-01  1.61578e-01 #[2022-01-18 17:41:33.059162]
   6.10000e+01  6.10000e-05  1.00000e-06  8.61042e+00  3.09826e-02  3.62018e-01  3.73055e-01  1.55555e-01 #[2022-01-18 17:41:33.065487]
   8.10000e+01  8.10000e-05  1.00000e-06  6.50411e+00  2.34035e-02  3.61954e-01  3.73363e-01  1.55353e-01 #[2022-01-18 17:41:33.071835]
   1.01000e+02  1.01000e-04  1.00000e-06  5.70936e+00  2.05438e-02  3.61831e-01  3.73634e-01  1.58182e-01 #[2022-01-18 17:41:33.077747]
   1.21000e+02  1.21000e-04  1.00000e-06  5.47499e+00  1.97005e-02  3.61666e-01  3.73894e-01  1.62985e-01 #[2022-01-18 17:41:33.085197]
   1.41000e+02  1.41000e-04  1.00000e-06  5.51340e+00  1.98387e-02  3.61468e-01  3.74156e-01  1.69281e-01 #[2022-01-18 17:41:33.091118]
   1.61000e+02  1.61000e-04  1.00000e-06  5.70167e+00  2.05162e-02  3.61194e-01  3.74428e-01  1.76824e-01 #[2022-01-18 17:41:33.097790]
   1.81000e+02  1.81000e-04  1.00000e-06  5.98345e+00  2.15300e-02  3.60806e-01  3.74714e-01  1.85490e-01 #[2022-01-18 17:41:33.104221]
   2.01000e+02  2.01000e-04  1.00000e-06  6.33168e+00  2.27831e-02  3.60380e-01  3.75018e-01  1.95223e-01 #[2022-01-18 17:41:33.110134]
   2.21000e+02  2.21000e-04  1.00000e-06  6.73321e+00  2.42279e-02  3.59919e-01  3.75342e-01  2.06014e-01 #[2022-01-18 17:41:33.117327]
   2.41000e+02  2.41000e-04  1.00000e-06  7.18186e+00  2.58423e-02  3.59419e-01  3.75727e-01  2.17871e-01 #[2022-01-18 17:41:33.123239]
